region,provincia,distrito,codigo_del_recurso,nombre_del_recurso,categoria,tipo_de_categoria,sub_tipo_categoria,url,latitud,longitud,fecha_de_corte
Ancash,Huari,Chavin De Huantar,1694,Baños Termales De Chavín,1. Sitios Naturales,K. Agua Termo-Mineral,Otros,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=1694,-77.17750936746597,-9.599675912275496,2025-10-13
Ancash,Antonio Raymondi,Llamellin,1697,"Danza Duende, Pallas Y Auqas",3. Folclore,Musicas Y Danzas,Musica Y Danzas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=1697,-77.0184,-9.10077,2025-10-13
Ancash,Huari,Huantar,1701,Quebrada Carhuascancha,1. Sitios Naturales,D. Quebradas,Quebradas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=1701,-77.26899700000001,-9.476487,2025-10-13
Ancash,Mariscal Luzuriaga,Fidel Olivas Escudero,1704,Laguna Canchiscocha,1. Sitios Naturales,G. Cuerpo De Agua,Lagunas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=1704,-77.33248377045884,-8.790557207770588,2025-10-13
Ancash,Carlos Fermin Fitzcarrald,San Nicolas,1708,Puchero De San Nicolás,3. Folclore,Gastronomia,Platos Tipicos,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=1708,-77.1843,-8.9769,2025-10-13
Ancash,Yungay,Yungay,1714,Mirador Natural De Portachuelo - Llanganuco,1. Sitios Naturales,N. Zonas Paisajisticas,Miradores Naturales,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=1714,-77.59741901724874,-9.043325681014077,2025-10-13
Ancash,Huaraz,Huaraz,1716,Carnaval Huaracino,5. Acontecimientos Programados,Fiestas,"Fiestas Tradicionales(Herranza, Carnavales, Otros)",https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=1716,-77.5334,-9.52745,2025-10-13
Huanuco,Huanuco,Huanuco,1719,Catedral De Huánuco,2. Manifestaciones Culturales,Arquitectura Y Espacios Urbanos,Catedral,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=1719,-76.23962134122849,-9.928715236452891,2025-10-13
Ancash,Carlos Fermin Fitzcarrald,San Luis,1720,Danza Paso Huanquilla,3. Folclore,Musicas Y Danzas,Musica Y Danzas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=1720,-77.3332,-9.09342,2025-10-13
Ancash,Carlos Fermin Fitzcarrald,San Nicolas,1725,Yuyo Pichu,3. Folclore,Gastronomia,Platos Tipicos,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=1725,-77.1843,-8.9769,2025-10-13
